UB Account Number,Service File Number,Acct Status,,UB Address,Zip (Lot),H.S. Service,UB Mapped - Private Side Verification Method,UB Mapped - Public Side Verification Method,H.S. Verification Method,S.S. Service,UB Private Side,UB Utility Side,UB SL Category,S.S. Verification Method,S.S. Previously Lead?,UB Account Type,
000002-000,1341,Active,,4 N THIRD AV,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
000003-000,3769,Active,,22 N THIRD AV,10550,Unknown,Not Verified,Records,Not Verified,Brass,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
000004-000,11965,Active,,110 N THIRD AV,10550,Copper,Customer Identification with Photo or Other Verification,Not Verified,Customer ID with Photo or Other Verification,Unknown,Non-Lead,Unknown,Unknown,Not Verified,Unknown,Billable,1
000005-000,5928,Active,,130 N THIRD AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
000006-000,5736,Delete,,30 OAKLEY AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
000007-000,11897,Active,,111 N THIRD AV,10550,Unknown,Not Verified,Not Verified,Not Verified,Unknown,Unknown,Unknown,Unknown,Not Verified,Unknown,Billable,1
000009-000,11884,Active,,33 N THIRD AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
000011-000,272,Active,,2 GRAMATAN AV,10550,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
000012-000,5879,Active,,6 GRAMATAN AV,10550,Cast Iron,Field Inspection,Records,Onsite Verification,Lead,Non-Lead,Lead,Lead,Records,Yes,Billable,1
000014-000,3581,Delete,,50 GRAMATAN AV,10550,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
